店舗名,写真,住所,アクセス方法,公式HP ,予算,クリック回数,メモ,ジャンル
天然温泉　清水湯,,〒755-0078　山口県山口市緑町4-60,山口駅から車で6分,なし,\420~,,北欧製で肌のキメを整えるスチームサウナ、地下水を利用した水風呂や家族風呂もある開業以来50数年、山口市内唯一の自家源泉の銭湯です。オーバーフロー形式の掛け流し銭湯で、自家泉源から汲み上げられる1日81500リットルもの天然高温温泉水を、汲み上げた地下水で冷却し適温にしてあります。,
山水園,,〒755-0078　山口県山口市緑町4-60,湯田温泉駅から車で7分,http://www.yuda-sansuien.com/,\20000~75000,,大正期、別荘として建てられ、昭和11年に増築し旅館としての営業を開始した。戦後に、京都の著名な数奇屋師である笛吹嘉一郎の意匠で、随所に数奇の技と遊び心を満載した仕上がりとなっており、専門家から「まるで木造建築の博物館」と評される。文化庁から登録有形文化財としての登録を受けている。,
西の雅常盤,,〒753-0056　山口県山口市湯田温泉4丁目6-4,湯田温泉駅から徒歩10分,http://www.n-tokiwa.co.jp/,\6000~27000,,常盤名物「女将劇場」があり、エンタメ旅館として知られている。さらに、この旅館には6つの温泉「維新黎明の湯」「山頭火の湯」「山口のんたの湯」「大内の御湯」「楊貴妃風呂」「わかたけ」がある。好みの温泉探しの旅を提供してくれる。日本旅館100選では、34年連続で入選している。,
湯田温泉　ユウベルホテル松政,,〒753-0056　山口県山口市湯田温泉3-5-8,湯田温泉駅から徒歩13分,http://www.matsumasa.jp/,\20000~35000,,昭和３年の創業以来、老舗の伝統である、和の心を大切にしたきめ細やかなおもてなしは残しつつ、ホテルの機能性、利便性を追求した「和風ホテル」である。高級ホテルのような堅苦しさではなく、心落ち着くサービスを提供している。オリジナル商品である特別本醸酒「風子」、おかゆスプーン「みんなの想い」なども有名。,
松田屋ホテル,,〒755-0056　山口県山口市湯田温泉3-6-7,湯田温泉駅から徒歩10分,https://www.matsudayahotel.co.jp,\20000~45000,,明治維新の偉業を成し遂げた武士たちが集い語り合った場としても有名である。徳川幕府末期の１８６０年につくられた「維新の湯」には、坂本龍馬らが入浴に使用したといわれる歴史的文化財である。館内には、初代内閣総理大臣である伊藤博文より寄贈された揮毫額と扁額が掲げられている。,
梅乃屋,,〒755-0056　山口県山口市湯田温泉3-6-4,湯田温泉駅から徒歩10分,http://umenoya.net/,\20000~30000,,１日約１５０トン湧き出す、豊富な湯量の自家源泉である。アルカリ性であるためお肌の汚れや角質を落とす「クレンジング効果」の高い湯である。野菜ソムリエの資格を有する女将のこだわり素材を用いた料理が魅力である。地産地消を推奨する地域一番の宿として評判が高い。,
やまぐち・湯田温泉　古稀庵,,〒755-0056　山口県山口市湯田温泉2-7-1,湯田温泉駅から徒歩10分,http://kokian.co.jp/,\36000~100000,,"歴史ある湯田温泉の中心でありながら、街中にいるのを忘れてしまうほど落ち着いた雰囲気。木々に囲まれ自然の息吹を感じる日本建築の佇まいは懐かしくも新しい和モダンで、客室には美肌の湯とも呼ばれる湯田の湯を源泉かけ流しで開放感あふれる露天風呂が全室に付いています。",
ホテルニュータナカ,,〒755-0056　山口県山口市湯田温泉2-6-24,湯田温泉駅から徒歩8分,https://www.newtanaka.jp,\15000~,,湯田温泉最高の地上38mにある屋上天然温泉・露店岩風呂「月下の湯」と、地下天然温泉「秋芳」を備え、訪れた人に癒しを与えます。「月下の湯」では、地上の喧騒さえも楽しめ、夜空を眺めながら格別なひと時を楽しめます。秋芳洞の名を冠した「秋芳」では、リラックスした時間を満喫できることでしょう。,
ビジネスホテル富士の家,,〒755-0056　山口県山口市湯田温泉4-8-2,湯田温泉駅から徒歩12分,https://fujinoya.hp.gogo.jp,\9000~,,温泉大浴場がチェックインからチェックアウトまでいつでも利用可能なので、朝風呂もできるのが魅力な温泉です。また、客室もシングルとツインに加え和室もあるので、ビジネスマンからファミリーまで幅広く楽しむことができるでしょう。泉質はアルカリ性単純温泉です。,
ホテル喜良久,,〒755-0056　山口県山口市湯田温泉4-4-3,湯田温泉駅から徒歩15分,https://hotelkiraku.com,\5500~,,クレンジング効果の高いアルカリ単純泉は「美肌の湯」と呼ばれ、この美肌の湯を、清掃時間を除き終日利用可能な点が魅力です。また、「馬油」のシャンプー・リンス・各種石鹸など、こだわりのアメニティが取り揃えてあることも女性におすすめであるポイントです。女性脱衣場にはベビーサークルも設置されています。,
ビジネスホテルうえの,,〒755-0056　山口県山口市湯田温泉1-1-38,湯田温泉駅から徒歩10分,http://www.hotel-ueno.co.jp/,\5000~,,湯田温泉では珍しい専用の52℃源泉の大浴場で、お仕事の疲れを癒し、家庭的雰囲気でもてなしてくれるホテルです。ビジネスからレジャーまで様々な旅で利用できます。また、無料駐車場やSDGsに配慮した電気自動車充電設備も完備されているので、県内外からのドライブの際に立ち寄ってはいかが？,
ルートイン山口　湯田温泉,,〒755-0056　山口県山口市泉都町9-1,湯田温泉駅から徒歩15分,https://www.route-inn.co.jp/hotel_list/yamaguchi/index_hotel_id_672/,\6900~,,源泉より直接組み上げたお湯をふんだんに使った大浴場が魅力的なホテルです。男女ともに露天風呂があり、男性大浴場にはサウナと水風呂が備えてあるため、旅の疲れを取るのにもってこいなお宿です。サウナと水風呂で整ってみてはいかが？,
